units_sold,price_per_unit,discount_percent,advertising_spend,revenue
34.0,996.5,2.7,26692.92,32966.21
44.0,990.1,18.7,10120.44,35417.86
39.0,740.04,1.8,14525.19,28342.05
75.0,373.03,29.5,,19723.96
98.0,224.36,8.3,25098.17,20162.34
23.0,371.82,4.8,39968.25,8141.37
38.0,747.65,14.4,1037.82,24319.56
25.0,952.57,5.0,29756.2,22623.54
-10.0,980.58,3.1,46803.58,47509.1
5.0,493.56,18.9,3175.72,2001.39
57.0,671.82,19.0,42888.83,31017.93
34.0,766.62,19.1,38034.01,21086.65
82.0,564.07,29.1,19456.49,32793.9
65.0,83.99,2.5,28529.41,5322.87
59.0,575.83,20.0,13018.93,27179.18
55.0,263.92,1.5,4489.41,14297.87
6.0,823.91,18.7,27098.82,4019.03
52.0,729.62,13.2,17216.77,32932.13
97.0,591.83,21.7,10815.64,44950.08
24.0,473.36,23.3,41146.95,8713.61
27.0,725.07,29.7,11024.47,13762.55
32.0,507.96,24.5,48758.99,12272.31
26.0,998.23,4.2,8427.86,24863.91
46.0,540.31,12.4,4575.96,21772.33
38.0,554.88,18.5,36290.6,17184.63
27.0,221.09,3.1,41297.41,5784.38
5.0,766.57,12.0,2928.25,3372.91
4.0,774.65,9.9,32223.28,2791.84
35.0,768.45,4.2,38680.64,25766.13
52.0,839.48,2.5,6493.34,42561.64
15.0,586.44,29.8,,6175.21
63.0,316.22,28.9,15080.18,14164.44
79.0,155.72,27.9,2368.04,8869.66
60.0,125.17,11.1,32019.52,6676.57
55.0,952.59,25.0,21311.54,39294.34
59.0,272.61,24.3,8340.12,12175.58
68.0,615.87,13.4,18437.97,36267.35
11.0,304.15,22.6,20817.85,2589.53
89.0,56.73,20.1,49252.05,4034.13
95.0,642.56,2.3,40289.25,59639.21
95.0,198.96,14.4,22005.92,16179.43
91.0,728.99,1.2,35801.58,65542.03
6.0,758.72,20.5,12263.36,3619.09
98.0,598.29,8.7,17481.42,53531.4
2.0,529.54,28.7,45648.46,755.12
88.0,149.0,22.4,37605.06,10174.91
4.0,280.62,15.9,8135.81,944.01
71.0,720.83,8.7,29970.36,46726.36
88.0,892.09,20.3,24183.91,62567.62
75.0,268.31,2.0,43464.83,19720.78
14.0,562.03,16.1,35076.2,6601.6
99.0,873.87,22.4,40884.56,67134.19
21.0,757.02,26.4,33550.59,11700.5
100.0,461.98,13.8,24396.11,39822.68
64.0,144.6,7.4,33806.98,8569.57
10.0,499.65,23.8,33745.87,3807.33
23.0,206.59,16.6,20138.62,3962.81
28.0,816.93,8.7,2636.67,20884.0
63.0,92.87,12.2,8789.31,5137.01
33.0,263.83,12.4,42440.14,7626.8
28.0,984.99,18.3,23018.73,22532.63
79.0,59.05,12.6,41434.79,4077.17
23.0,592.61,29.6,18504.67,9595.54
1.0,558.5,28.1,31608.7,401.56
74.0,444.09,11.6,39432.34,29050.59
41.0,979.1,16.6,41625.09,33479.35
84.0,408.05,16.5,32121.83,28620.63
52.0,456.38,9.4,48841.18,21500.97
34.0,-100.0,20.1,34461.04,20116.69
92.0,826.45,15.5,45702.54,64248.22
95.0,538.22,17.2,28154.42,42336.39
26.0,259.99,29.1,26446.31,4792.66
28.0,283.01,0.4,10266.55,7892.58
94.0,682.21,150.0,48320.1,59702.93
19.0,372.08,12.4,27443.37,6192.9
65.0,894.93,3.1,9282.11,56367.17
12.0,72.48,27.6,2073.4,629.71
64.0,168.39,6.9,27460.81,10033.35
91.0,283.38,12.5,31457.33,22564.13
40.0,163.5,11.6,35682.43,5781.36
34.0,-100.0,10.1,9180.65,3764.2
75.0,953.48,28.9,10905.78,50844.32
58.0,102.26,20.4,23574.76,4721.14
81.0,416.18,25.5,18674.07,25114.38
80.0,780.98,9.0,16770.51,56855.34
78.0,582.08,28.9,30284.83,32280.99
33.0,366.81,20.4,14194.94,9635.37
1.0,558.5,28.1,31608.7,401.56
8.0,502.02,30.0,26526.43,2811.31
42.0,334.14,6.8,22963.3,13079.58
43.0,610.68,22.5,49292.52,20350.91
33.0,288.99,18.4,37108.49,7781.92
35.0,343.36,26.6,23234.66,8820.92
38.0,710.78,16.3,33730.99,22607.07
15.0,890.63,12.4,16491.79,11702.88
52.0,252.08,1.0,31755.78,12977.08
60.0,724.19,4.2,9084.0,41626.44
59.0,909.3,10.8,3937.74,47854.64
97.0,399.67,18.0,30903.93,31789.75
52.0,330.11,25.7,46135.16,12754.13
94.0,222.34,20.1,49798.15,16699.07
66.0,448.71,12.4,3886.34,25942.62
1.0,938.78,27.5,13558.12,680.62
76.0,71.1,21.0,30067.01,4268.84
88.0,138.96,25.7,29251.57,9085.76
65.0,498.39,20.1,44004.72,25883.88
97.0,306.72,27.5,3900.2,21570.08
64.0,691.23,18.8,32183.81,35921.84
84.0,118.08,27.8,34317.52,7161.32
80.0,485.78,5.7,43267.45,36647.24
49.0,159.36,23.6,40432.48,5965.8
87.0,897.47,20.3,,62229.67
54.0,670.81,11.7,46297.01,31985.56
76.0,380.7,7.1,11894.89,26878.94
26.0,698.31,29.6,4700.82,12781.87
95.0,243.01,16.3,28880.94,19322.94
76.0,432.0,29.8,21418.1,23048.06
55.0,923.55,7.5,25529.34,46985.61
82.0,712.52,10.4,36414.44,52350.27
53.0,981.66,14.6,43314.16,44431.89
6.0,171.36,17.7,43668.18,846.18
35.0,725.02,21.7,36775.61,19869.17
86.0,574.31,10.0,44725.05,44451.59
73.0,,6.9,42439.13,60882.61
27.0,230.78,28.0,23204.17,4486.36
42.0,725.12,7.6,18054.32,28140.46
94.0,795.22,4.5,24374.71,71386.9
18.0,374.75,18.1,20300.02,5524.56
46.0,249.42,18.6,15877.45,9339.28
85.0,111.56,8.3,42457.42,8695.54
69.0,808.39,,47834.57,48304.54
20.0,976.03,10.1,18370.67,17549.02
95.0,922.44,25.0,25528.28,65723.85
35.0,815.37,27.4,5298.05,20718.55
,748.44,8.8,32735.89,62797.11
7.0,711.61,13.1,24124.22,4328.72
98.0,514.53,30.0,30349.28,35296.76
15.0,715.17,26.0,27581.73,7938.39
60.0,141.29,17.0,47975.48,7036.24
18.0,668.44,13.1,48230.54,10455.74
5.0,945.49,17.9,10519.95,3881.24
86.0,998.95,19.3,30820.85,69329.13
95.0,609.19,26.4,10010.15,42594.56
41.0,829.16,11.9,3432.04,29950.09
77.0,87.42,5.8,34089.9,6340.92
,518.16,11.2,6154.81,28067.69
1.0,938.78,27.5,13558.12,680.62
97.0,80.18,21.8,31458.98,6081.97
67.0,703.02,9.2,24485.96,42768.92
24.0,524.89,28.7,40646.28,8981.92
79.0,801.9,0.4,7136.53,63096.7
21.0,891.02,23.5,44737.22,14314.24
99.0,485.7,12.9,34762.36,41881.43
92.0,799.3,2.4,49625.06,71770.75
4.0,792.1,17.4,18982.66,2617.1
72.0,989.4,16.1,33193.08,59767.68
96.0,494.63,14.7,19445.22,40504.26
5.0,319.45,20.1,19209.83,1276.2
96.0,876.91,18.9,37772.28,68272.7
11.0,59.0,30.0,5472.42,454.3
3.0,973.04,25.4,40298.0,2177.66
82.0,706.45,24.4,31705.94,43794.25
89.0,857.95,7.1,39734.39,70936.16
94.0,794.11,14.7,2293.9,63673.33
78.0,847.04,27.3,2598.55,48032.25
73.0,252.71,0.8,2737.75,18300.25
41.0,397.13,1.1,10890.58,16103.22
76.0,306.77,23.7,2014.01,17788.98
21.0,117.02,0.2,9078.99,2452.51
92.0,98.76,10.4,10245.65,8140.98
,812.1,14.0,20995.43,66348.57
84.0,,1.3,6153.32,33707.08
5.0,680.16,30.0,5710.44,2380.56
20.0,551.66,26.7,40613.5,8087.34
23.0,755.6,22.5,35198.05,13468.57
50.0,834.94,6.0,47161.89,39242.18
95.0,367.93,19.4,28457.1,28172.4
85.0,728.66,13.0,35375.3,53884.41
75.0,410.21,13.3,14461.85,26673.91
54.0,293.11,11.7,22451.24,13976.07
67.0,779.66,,6076.72,37819.75
10.0,323.51,13.7,42513.54,2791.89
99.0,314.8,0.5,45916.71,31009.37
32.0,965.87,26.8,10336.17,22624.54
47.0,712.1,17.8,45657.6,27511.27
18.0,688.17,16.9,4417.41,10293.65
13.0,361.55,24.3,12438.81,3558.01
22.0,735.66,18.6,20764.55,13174.2
88.0,779.55,19.6,37541.56,55154.72
3.0,138.98,,49709.96,364.82
49.0,853.28,2.6,12566.69,40723.64
30.0,788.63,26.0,42454.92,17507.59
89.0,686.58,19.1,49836.64,49434.45
29.0,335.03,28.8,9367.93,6917.7
47.0,696.84,22.7,14554.59,25316.89
46.0,226.74,15.6,28495.11,8802.95
18.0,884.11,5.3,12768.14,15070.54
,809.4,21.0,1335.49,44120.39
69.0,274.93,21.7,40194.57,14853.64
90.0,180.81,15.5,2317.39,13750.6
22.0,503.89,26.8,38778.78,8114.64
26.0,416.91,25.0,5521.17,8129.74
43.0,494.18,1.9,15331.69,20845.99
18.0,483.39,150.0,37455.43,8318.18
69.0,155.25,18.7,2617.88,8709.06
28.0,281.63,27.4,28711.53,5724.97
68.0,738.47,18.0,14032.8,41177.09
5.0,717.22,3.0,33832.01,3478.52
77.0,219.55,19.3,28519.13,13642.62
13.0,318.66,20.3,5268.76,3301.64
83.0,111.13,6.4,8774.47,8633.47
30.0,855.93,7.8,40634.54,23675.02
22.0,533.06,26.1,4706.55,8666.49
49.0,512.11,8.3,33287.27,23010.64
26.0,704.02,22.3,36968.12,14222.61
27.0,170.19,25.0,23775.47,3446.35
1.0,207.96,7.8,11954.7,191.74
76.0,509.09,1.5,30661.94,38110.48
19.0,459.19,0.3,38263.22,8698.44
69.0,416.46,10.2,19981.89,25804.69
78.0,169.11,22.4,27848.59,10235.89
47.0,552.13,28.2,3109.97,18632.18
7.0,651.01,27.4,10413.81,3308.43
46.0,915.8,13.9,31716.25,36271.17
39.0,223.13,24.5,26849.15,6570.06
64.0,587.3,29.4,47475.84,26536.56
59.0,617.0,22.5,40039.24,28212.32
91.0,843.31,25.5,14056.1,57172.2
51.0,290.28,15.9,3054.53,12450.4
25.0,308.94,18.0,46202.89,6333.27
46.0,580.98,17.6,26044.05,22021.47
90.0,625.41,8.2,49949.77,51671.37
60.0,466.55,20.2,35768.64,22338.41
82.0,844.69,5.3,4066.46,65593.56
11.0,467.1,8.6,45575.64,4696.22
29.0,577.41,20.3,1580.73,13345.68
46.0,409.96,10.1,19229.29,16953.49
43.0,494.18,1.9,15331.69,20845.99
47.0,815.42,23.1,9206.05,29471.73
91.0,507.49,13.4,1985.49,39993.26
100.0,230.36,12.8,46018.59,20087.39
22.0,318.87,14.1,24770.0,6026.01
68.0,733.12,15.6,32388.49,42075.22
75.0,488.06,22.5,23027.52,28368.49
8.0,160.41,19.6,25588.36,1031.76
93.0,377.59,6.1,5314.68,32973.8
57.0,804.92,2.7,9031.79,44641.67
7.0,377.45,6.7,34208.15,2465.13
15.0,770.51,21.3,16274.09,9095.87
53.0,234.98,27.3,25912.54,9054.01
90.0,642.38,27.2,4649.31,42088.74
58.0,559.74,6.7,38276.3,30289.77
77.0,,23.8,1124.09,3581.46
4.0,705.0,25.3,14394.08,2106.54
89.0,829.7,29.2,5382.01,52281.06
21.0,991.88,16.9,36137.42,17309.3
88.0,117.71,20.8,5605.43,8203.92
100.0,112.32,20.7,27366.79,8906.98
10.0,185.41,28.5,36407.19,1325.68
12.0,993.28,7.1,18835.04,11073.09
28.0,254.66,20.8,20601.56,5647.34
19.0,913.08,16.4,36048.4,14503.36
26.0,554.87,11.6,19204.51,12753.13
2.0,504.59,19.2,17572.14,815.42
40.0,530.6,28.1,10259.26,15260.06
70.0,107.69,4.3,23639.13,7214.15
65.0,150.88,16.4,47999.63,8198.82
98.0,568.24,27.9,17284.32,40150.7
93.0,917.44,29.5,10250.69,60151.95
52.0,181.16,7.9,29876.66,8676.11
39.0,616.72,18.5,29836.71,19602.45
30.0,825.19,7.7,37943.19,22849.51
5.0,598.25,22.6,30133.53,2315.23
62.0,137.02,17.2,13576.12,7034.06
44.0,918.61,8.5,,36983.24
99.0,753.56,14.5,3279.75,63785.09
80.0,963.58,13.3,1303.67,66833.91
98.0,68.29,24.4,47232.88,5059.47
34.0,443.45,3.2,22262.27,14594.83
98.0,581.79,20.8,37507.55,45156.21
13.0,960.35,22.4,31004.69,9688.01
32.0,806.37,27.1,33435.46,18811.0
2.0,371.83,29.3,45500.43,525.77
56.0,966.63,12.4,6622.3,47419.0
38.0,192.01,25.4,28740.0,5443.1
84.0,666.2,24.0,11134.61,42530.21
55.0,86.46,20.1,5037.08,3799.48
93.0,450.35,15.1,5031.31,35558.28
75.0,254.07,28.5,42047.81,13624.5
36.0,976.34,23.9,11159.19,26747.81
95.0,285.26,2.6,2139.07,26395.11
33.0,407.16,23.0,22459.82,10345.94
2.0,504.59,19.2,17572.14,815.42
30.0,973.5,24.2,9530.69,22137.39
-10.0,981.6,26.1,15646.47,64560.81
57.0,190.34,7.4,45803.04,10046.53
31.0,710.99,6.2,29925.13,20674.17
23.0,977.05,21.2,17662.75,17708.05
19.0,,18.3,6091.23,12052.52
11.0,395.78,10.3,46764.91,3905.16
61.0,956.3,4.0,38499.53,56000.93
70.0,970.9,7.2,39368.97,63069.66
12.0,873.46,15.7,38255.56,8835.92
60.0,871.2,23.6,46821.01,39935.81
65.0,87.7,23.0,16480.7,4389.38
22.0,155.6,14.4,18832.97,2930.26
50.0,172.06,29.8,44133.07,6039.31
51.0,424.71,15.3,44595.12,18346.2
98.0,55.09,10.8,7365.71,4815.75
1.0,111.14,22.2,4795.99,86.47
48.0,238.55,4.2,26627.42,10969.48
88.0,154.22,24.1,32325.32,10300.66
43.0,81.84,10.0,13319.62,3167.21
82.0,476.65,0.4,33903.65,38928.96
84.0,144.29,4.0,1608.75,11635.55
32.0,496.48,17.4,23236.47,13122.96
99.0,873.87,22.4,40884.56,67134.19
60.0,797.23,10.5,30760.2,42811.25
71.0,612.84,28.8,10269.73,30980.29
44.0,180.89,11.2,43081.95,7067.73
51.0,402.17,16.5,36620.68,17126.41
28.0,759.08,18.3,40028.78,17364.71
56.0,250.27,18.4,21676.4,11436.34
83.0,605.37,15.0,26380.4,42708.85
48.0,394.64,0.4,22604.74,18866.95
69.0,934.22,10.5,26306.66,57692.76
17.0,295.99,24.4,11684.48,3804.06
92.0,592.75,2.5,1568.75,53169.68
94.0,550.1,29.9,2974.66,36248.29
65.0,967.92,20.5,,50017.27
33.0,998.53,10.0,35843.02,29656.34
26.0,948.28,5.2,,23373.21
20.0,173.18,2.2,13025.55,3387.4
36.0,699.05,28.0,49358.41,18119.38
45.0,357.15,12.6,48232.67,14046.71
43.0,969.74,26.9,30337.27,30481.84
61.0,272.64,19.3,38467.5,13421.25
64.0,574.47,1.6,3662.92,36177.82
10.0,426.49,23.3,5358.4,3271.18
68.0,867.59,,29267.54,48612.8
7.0,111.11,0.7,11327.03,772.33
44.0,546.08,6.8,10741.39,22393.65
36.0,893.49,14.4,5915.79,27533.79
47.0,635.58,20.1,9081.93,23867.94
90.0,517.29,29.2,2042.01,32961.72
50.0,91.65,19.0,31123.92,3711.82
32.0,979.77,0.5,14143.89,31195.88
42.0,400.36,1.1,10638.96,16630.15
88.0,570.86,22.6,38777.03,38882.42
100.0,691.14,19.3,42988.19,55775.0
90.0,320.06,26.2,5146.77,21258.39
99.0,754.19,17.5,2308.43,61598.47
59.0,699.59,14.7,32173.55,35208.27
65.0,507.77,21.2,12323.38,26007.98
72.0,280.28,10.1,45895.25,18141.96
27.0,878.21,14.2,34897.16,20344.61
14.0,467.15,15.3,32369.47,5539.46
67.0,226.88,21.8,2449.97,11887.15
44.0,296.85,18.5,44289.02,10645.04
40.0,908.65,1.4,28974.42,35837.16
29.0,789.1,3.0,11051.4,22197.38
49.0,65.56,22.3,42717.39,2496.07
2.0,308.79,24.7,1382.14,465.04
19.0,613.52,7.7,10815.76,10759.3
39.0,239.47,13.5,39128.06,8078.52
33.0,636.56,28.8,12344.01,14956.61
76.0,818.2,9.5,24672.37,56275.8
75.0,671.88,9.2,26657.01,45755.03
24.0,195.61,15.0,42912.38,3990.44
30.0,444.43,27.8,27487.69,9626.35
99.0,84.41,21.6,43145.3,6551.57
37.0,178.61,16.7,31747.52,5504.94
74.0,497.23,21.6,29819.27,28847.3
98.0,78.42,9.6,5137.32,6947.38
16.0,110.82,18.5,26688.84,1445.09
99.0,104.23,19.8,17450.8,8275.65
19.0,174.0,15.3,28410.18,2800.18
81.0,327.68,25.0,35739.04,19906.56
60.0,380.26,29.2,11707.53,16153.44
35.0,577.27,23.0,48792.77,15557.43
39.0,143.58,24.6,4138.81,4222.11
43.0,952.9,20.6,26291.53,32533.91
79.0,-100.0,25.4,35200.24,47091.21
74.0,239.97,21.0,38559.18,14028.65
50.0,796.56,,25401.7,31663.26
66.0,158.96,20.5,17442.68,8340.63
56.0,614.77,17.1,45529.96,28540.08
14.0,784.19,9.2,18980.03,9968.62
77.0,411.6,23.6,11749.27,24213.6
8.0,562.88,29.9,21963.74,3156.63
4.0,139.81,23.5,42148.39,427.82
44.0,284.78,27.8,42123.04,9046.89
59.0,911.85,13.5,3360.52,46536.26
54.0,100.07,19.7,12669.45,4339.24
94.0,699.95,9.9,18447.63,59281.57
42.0,930.75,23.7,28379.52,29826.81
31.0,148.99,15.3,9184.48,3912.03
51.0,104.67,1.8,6229.82,5242.08
62.0,604.03,11.4,3895.48,33180.58
13.0,356.6,,43841.67,3286.78
21.0,704.16,,24034.93,13560.01
76.0,630.09,17.4,47543.81,39554.53
67.0,881.76,20.4,20851.42,47026.02
51.0,723.46,16.9,1551.3,30660.96
4.0,325.91,2.7,20295.48,1268.44
52.0,131.61,24.1,32537.31,5194.38
67.0,274.33,12.6,41942.26,16064.22
21.0,614.19,25.0,34370.35,9673.49
23.0,145.51,29.2,4196.9,2369.48
60.0,774.74,29.7,42130.33,32678.53
67.0,865.84,25.4,14396.07,43276.41
90.0,355.42,8.0,35787.3,29428.78
48.0,115.94,25.3,32607.19,4157.14
85.0,290.78,15.3,17443.66,20934.71
11.0,833.14,10.5,37512.03,8202.26
52.0,604.36,26.9,6649.63,22972.93
12.0,252.66,12.7,3330.97,2646.87
,762.69,27.8,43938.13,24229.14
5.0,189.67,29.0,49768.94,673.33
14.0,249.2,28.6,13825.21,2491.0
64.0,154.71,0.9,17834.66,9812.33
75.0,172.5,18.1,6154.3,10595.81
16.0,208.45,4.8,47173.69,3175.11
95.0,842.94,13.6,6069.44,69188.52
63.0,507.48,16.9,2277.29,26568.1
21.0,418.16,1.9,23546.88,8614.51
,584.28,21.3,45145.18,28509.36
70.0,792.76,26.0,46108.11,41064.97
27.0,348.14,24.3,19412.75,7115.63
86.0,131.38,0.1,10323.74,11287.38
99.0,752.93,10.9,20900.58,66415.2
9.0,480.57,17.9,43031.38,3550.93
71.0,680.19,28.0,4126.67,34771.31
7.0,325.98,12.5,45375.83,1996.63
55.0,630.59,2.6,2650.06,33780.71
29.0,493.25,6.2,41278.55,13417.39
66.0,847.78,28.6,23351.62,39950.78
74.0,945.68,9.9,23035.91,63052.27
96.0,860.84,21.1,47442.03,65203.46
47.0,712.1,17.8,45657.6,27511.27
68.0,654.21,20.6,44603.98,35322.11
37.0,326.29,9.8,16177.86,10889.6
3.0,198.59,16.2,48414.25,499.26
71.0,,6.6,21938.29,22458.56
40.0,522.97,21.4,5191.44,16442.18
77.0,694.63,15.0,43528.68,45463.53
44.0,220.32,26.2,31746.84,7154.23
45.0,316.86,7.8,18621.84,13146.52
89.0,858.62,7.9,41075.88,70380.22
18.0,604.76,12.2,15860.65,9557.63
74.0,417.78,12.7,10187.64,26989.42
29.0,865.77,22.5,21312.39,19458.18
81.0,953.72,17.3,,63886.84
64.0,396.76,4.8,39123.87,24173.79
74.0,549.68,28.3,1064.52,29164.92
94.0,225.48,23.9,48472.21,16129.49
69.0,875.03,19.7,11186.58,48482.79
67.0,180.24,14.6,46590.85,10312.97
61.0,170.85,5.0,39061.33,9900.76
76.0,105.38,29.9,39885.68,5614.22
4.0,539.18,16.8,39534.41,1794.39
70.0,566.37,17.3,42587.4,32787.16
71.0,732.46,14.4,23825.87,44515.99
34.0,635.77,11.7,29522.35,19087.09
37.0,666.11,1.5,49341.59,24276.38
80.0,81.21,9.2,26985.55,5899.09
91.0,640.65,23.5,39266.54,44598.85
8.0,,16.8,6672.67,1023.09
88.0,203.67,8.6,24590.25,16381.59
77.0,94.3,23.4,11231.11,5562.0
51.0,465.62,26.5,44997.52,17453.77
38.0,74.22,21.8,40257.55,2205.52
26.0,935.37,8.0,,22374.05
36.0,410.4,27.1,32938.3,10770.54
38.0,174.12,28.5,30518.33,4730.84
3.0,859.14,4.5,23825.87,2461.44
93.0,653.88,7.0,45945.33,56554.08
48.0,521.63,3.3,30713.36,24211.98
51.0,-100.0,6.9,3274.45,32501.22
59.0,947.9,16.3,12662.5,46810.15
36.0,938.34,150.0,44086.17,27463.34
50.0,486.48,14.9,8815.41,20699.72
76.0,859.42,0.8,9839.25,64793.39
74.0,645.56,5.5,2509.29,45144.01
63.0,99.9,12.6,34167.27,5500.69
60.0,728.18,3.9,21308.88,41986.86
24.0,857.77,19.1,16058.72,16654.46
46.0,72.56,6.9,8186.32,3107.45
24.0,640.79,24.8,20178.71,11564.98
10.0,936.63,0.1,36365.01,9356.93
38.0,364.33,28.2,29850.82,9940.38
22.0,212.94,26.0,12123.78,3466.66
79.0,634.96,27.2,18781.02,36517.82
51.0,82.68,18.7,39587.43,3428.16
36.0,93.59,20.1,33038.32,2692.02
44.0,361.48,1.0,6668.53,15746.07
81.0,661.89,3.7,6176.36,51629.41
17.0,260.97,28.1,37526.53,3189.84
11.0,111.25,23.2,32170.82,939.84
70.0,385.65,2.3,45904.02,26374.6
88.0,891.96,27.2,3388.55,57142.53
49.0,603.14,24.4,1737.93,22342.72
2.0,851.14,20.9,27563.2,1346.5
23.0,538.84,3.3,32148.9,11984.34
27.0,759.78,10.9,25599.53,18278.03
46.0,702.81,17.8,25780.72,26574.65
,639.04,20.5,25082.48,4572.33
11.0,868.45,24.7,3888.23,7193.37
3.0,349.93,24.1,46756.29,796.79
80.0,371.54,18.4,10193.93,24254.13
69.0,771.16,16.1,28879.08,44643.22
8.0,817.43,27.5,3526.92,4741.09
60.0,,15.2,10538.28,9034.76
1.0,249.08,11.1,21329.04,221.43
16.0,104.97,15.0,29657.53,1427.59
60.0,,15.2,10538.28,9034.76
11.0,813.28,6.7,3112.12,8346.69
87.0,599.84,5.6,16984.11,49263.66
35.0,749.55,12.7,17396.26,22902.5
39.0,919.33,16.5,37169.67,29937.98
43.0,363.92,1.1,8424.83,15476.43
73.0,503.07,27.5,4985.53,26624.98
73.0,366.14,9.8,21789.32,24108.85
42.0,60.52,14.9,27722.48,2163.11
16.0,805.4,28.0,35681.13,9278.21
92.0,626.41,27.7,13451.76,41666.29
14.0,934.87,12.1,37048.58,11504.51
50.0,797.0,10.4,41829.96,35705.6
12.0,888.92,5.5,23376.11,10080.35
55.0,176.58,22.5,36010.32,7526.72
22.0,925.87,0.7,32464.56,20226.56
93.0,172.5,12.1,14740.51,14101.36
8.0,,16.8,6672.67,1023.09
99.0,217.76,4.1,40715.75,20674.35
84.0,432.53,20.6,36949.37,28848.02
81.0,743.67,2.4,25162.33,58791.58
95.0,860.02,15.0,26062.52,69446.61
40.0,342.62,1.2,30971.42,13540.34
23.0,101.32,4.2,45931.34,2232.48
74.0,470.97,10.4,16876.0,31227.19
19.0,406.43,13.8,49141.65,6656.51
60.0,738.65,4.7,42719.37,42236.01
49.0,533.52,0.0,24871.24,26142.48
20.0,450.0,15.2,21380.89,7632.0
63.0,263.2,6.4,30795.56,15520.38
56.0,834.3,17.6,15497.44,38497.94
88.0,658.94,27.7,20042.22,41924.4
57.0,830.83,20.4,25355.51,37696.42
25.0,893.38,24.4,6888.73,16884.88
33.0,494.93,3.7,32694.55,15728.38
1.0,132.91,15.9,49411.55,111.78
56.0,998.97,17.9,4572.71,45928.64
95.0,351.11,15.8,43738.57,28085.29
79.0,710.92,29.5,32102.67,39594.69
19.0,214.75,8.8,35938.82,3721.19
97.0,685.0,24.5,2822.57,50165.98
40.0,504.57,9.1,33868.73,18346.17
79.0,963.05,19.4,39577.09,61321.25
70.0,-100.0,16.1,9394.81,37905.52
20.0,485.36,22.2,37022.22,7552.2
91.0,208.21,16.8,41030.86,15764.0
77.0,254.84,7.5,21278.04,18150.98
64.0,72.72,9.8,24617.26,4197.98
58.0,399.04,13.7,19625.65,19973.55
60.0,261.94,17.8,17809.66,12918.88
21.0,137.04,27.1,43153.38,2097.95
91.0,511.68,4.8,42396.14,44327.86
95.0,617.84,27.1,40212.2,42788.51
71.0,432.6,15.3,31009.88,26015.27
61.0,181.75,24.5,42187.51,8370.5
61.0,826.8,15.1,44462.58,42819.15
7.0,759.17,20.7,32003.91,4214.15
100.0,446.87,26.2,29122.67,32979.01
25.0,856.24,8.2,20304.93,19650.71
34.0,506.73,18.9,23888.68,13972.57
52.0,717.39,5.1,48513.04,35401.76
