units_sold,price_per_unit,discount_percent,advertising_spend,revenue,gross_sales,discount_amount
42.0,930.75,23.7,28379.52,29826.81,39091.5,9264.6855
63.0,663.92,1.8,6362.18,41074.07,41826.96,752.8852800000001
89.0,105.11,7.9,45228.49,8615.76,9354.789999999999,739.02841
46.0,422.54,28.6,3622.51,13877.9,19436.84,5558.936240000001
3.0,705.11,23.1,44110.05,1626.69,2115.33,488.64123
98.0,937.32,13.9,21621.55,79089.19,91857.36,12768.17304
70.0,671.8,2.6,35783.33,45803.32,47026.0,1222.6760000000002
72.0,951.57,19.4,39419.9,55221.51,68513.04000000001,13291.52976
10.0,234.69,11.8,10053.92,2069.97,2346.9,276.93420000000003
3.0,936.27,3.8,47088.52,2702.08,2808.81,106.73477999999999
73.0,841.12,22.5,5827.8,47586.36,61401.76,13815.396
52.0,594.48,24.8,31291.0,23246.55,30912.96,7666.4140800000005
40.0,899.74,13.8,14270.13,31023.04,35989.6,4966.5648
55.0,252.36,29.2,29619.11,9826.9,13879.800000000001,4052.9016
74.0,369.88,29.3,4243.73,19351.38,27371.12,8019.73816
64.0,861.25,17.5,23201.35,45474.0,55120.0,9646.0
100.0,495.84,28.0,18816.28,35700.48,49584.0,13883.52
47.0,929.4,19.0,20347.71,35382.26,43681.799999999996,8299.542
39.0,463.84,3.1,17112.66,17528.98,18089.76,560.78256
52.0,876.16,27.2,15717.57,33167.91,45560.32,12392.407039999998
74.0,990.43,13.4,27911.97,63470.72,73291.81999999999,9821.103879999999
38.0,197.54,6.3,4069.69,7033.61,7506.5199999999995,472.9107599999999
96.0,102.48,5.4,31461.2,9306.82,9838.08,531.2563200000001
83.0,256.13,20.7,41845.97,16858.22,21258.79,4400.56953
74.0,455.16,25.3,19753.95,25160.33,33681.840000000004,8521.50552
73.0,675.85,10.1,14384.83,44354.01,49337.05,4983.04205
49.0,632.47,28.2,10294.09,22251.56,30991.030000000002,8739.47046
95.0,243.01,16.3,28880.94,19322.94,23085.95,3763.0098500000004
48.0,263.05,19.2,2984.04,10202.13,12626.400000000001,2424.2688
98.0,231.04,20.4,11878.87,18022.97,22641.92,4618.951679999999
77.0,507.25,29.2,43440.55,27653.24,39058.25,11405.008999999998
59.0,899.87,26.1,10332.07,39235.23,53092.33,13857.09813
25.0,192.18,10.7,32332.03,4290.42,4804.5,514.0814999999999
3.0,138.56,8.2,49303.83,381.59,415.68,34.08575999999999
5.0,852.25,11.1,23986.57,3788.25,4261.25,472.99875
34.0,996.5,2.7,26692.92,32966.21,33881.0,914.7870000000001
44.0,990.1,18.7,10120.44,35417.86,43564.4,8146.5428
39.0,740.04,1.8,14525.19,28342.05,28861.559999999998,519.50808
75.0,373.03,29.5,25017.235,19723.96,27977.249999999996,8253.28875
98.0,224.36,8.3,25098.17,20162.34,21987.280000000002,1824.9442400000003
23.0,371.82,4.8,39968.25,8141.37,8551.86,410.48928
38.0,747.65,14.4,1037.82,24319.56,28410.7,4091.1408
25.0,952.57,5.0,29756.2,22623.54,23814.25,1190.7125
52.0,980.58,3.1,46803.58,47509.1,50990.16,1580.69496
5.0,493.56,18.9,3175.72,2001.39,2467.8,466.4142
57.0,671.82,19.0,42888.83,31017.93,38293.740000000005,7275.810600000001
34.0,766.62,19.1,38034.01,21086.65,26065.08,4978.4302800000005
82.0,564.07,29.1,19456.49,32793.9,46253.740000000005,13459.838340000002
65.0,83.99,2.5,28529.41,5322.87,5459.349999999999,136.48375
59.0,575.83,20.0,13018.93,27179.18,33973.97,6794.794
55.0,263.92,1.5,4489.41,14297.87,14515.6,217.734
6.0,823.91,18.7,27098.82,4019.03,4943.46,924.4270199999999
52.0,729.62,13.2,17216.77,32932.13,37940.24,5008.111679999999
97.0,591.83,21.7,10815.64,44950.08,57407.51,12457.42967
24.0,473.36,23.3,41146.95,8713.61,11360.64,2647.02912
27.0,725.07,29.7,11024.47,13762.55,19576.890000000003,5814.33633
32.0,507.96,24.5,48758.99,12272.31,16254.72,3982.4063999999994
26.0,998.23,4.2,8427.86,24863.91,25953.98,1090.06716
46.0,540.31,12.4,4575.96,21772.33,24854.26,3081.9282399999997
38.0,554.88,18.5,36290.6,17184.63,21085.44,3900.8063999999995
27.0,221.09,3.1,41297.41,5784.38,5969.43,185.05233
5.0,766.57,12.0,2928.25,3372.91,3832.8500000000004,459.94200000000006
4.0,774.65,9.9,32223.28,2791.84,3098.6,306.7614
35.0,768.45,4.2,38680.64,25766.13,26895.75,1129.6215000000002
52.0,839.48,2.5,6493.34,42561.64,43652.96,1091.3239999999998
15.0,586.44,29.8,25017.235,6175.21,8796.6,2621.3868
63.0,316.22,28.9,15080.18,14164.44,19921.86,5757.4175399999995
79.0,155.72,27.9,2368.04,8869.66,12301.88,3432.2245199999993
60.0,125.17,11.1,32019.52,6676.57,7510.2,833.6322
55.0,952.59,25.0,21311.54,39294.34,52392.450000000004,13098.1125
59.0,272.61,24.3,8340.12,12175.58,16083.990000000002,3908.4095700000007
68.0,615.87,13.4,18437.97,36267.35,41879.16,5611.8074400000005
11.0,304.15,22.6,20817.85,2589.53,3345.6499999999996,756.1169
89.0,56.73,20.1,49252.05,4034.13,5048.969999999999,1014.8429699999999
95.0,642.56,2.3,40289.25,59639.21,61043.2,1403.9935999999998
95.0,198.96,14.4,22005.92,16179.43,18901.2,2721.7728
91.0,728.99,1.2,35801.58,65542.03,66338.09,796.05708
6.0,758.72,20.5,12263.36,3619.09,4552.32,933.2256
98.0,598.29,8.7,17481.42,53531.4,58632.42,5101.0205399999995
2.0,529.54,28.7,45648.46,755.12,1059.08,303.95596
88.0,149.0,22.4,37605.06,10174.91,13112.0,2937.0879999999997
4.0,280.62,15.9,8135.81,944.01,1122.48,178.47432
71.0,720.83,8.7,29970.36,46726.36,51178.93,4452.56691
88.0,892.09,20.3,24183.91,62567.62,78503.92,15936.29576
75.0,268.31,2.0,43464.83,19720.78,20123.25,402.465
14.0,562.03,16.1,35076.2,6601.6,7868.42,1266.81562
99.0,873.87,22.4,40884.56,67134.19,86513.13,19378.94112
21.0,757.02,26.4,33550.59,11700.5,15897.42,4196.91888
100.0,461.98,13.8,24396.11,39822.68,46198.0,6375.3240000000005
64.0,144.6,7.4,33806.98,8569.57,9254.4,684.8256
10.0,499.65,23.8,33745.87,3807.33,4996.5,1189.167
23.0,206.59,16.6,20138.62,3962.81,4751.57,788.76062
28.0,816.93,8.7,2636.67,20884.0,22874.039999999997,1990.0414799999996
63.0,92.87,12.2,8789.31,5137.01,5850.81,713.79882
33.0,263.83,12.4,42440.14,7626.8,8706.39,1079.5923599999999
28.0,984.99,18.3,23018.73,22532.63,27579.72,5047.088760000001
79.0,59.05,12.6,41434.79,4077.17,4664.95,587.7837
23.0,592.61,29.6,18504.67,9595.54,13630.03,4034.4888800000003
1.0,558.5,28.1,31608.7,401.56,558.5,156.9385
74.0,444.09,11.6,39432.34,29050.59,32862.659999999996,3812.0685599999997
41.0,979.1,16.6,41625.09,33479.35,40143.1,6663.754600000001
84.0,408.05,16.5,32121.83,28620.63,34276.200000000004,5655.573
52.0,456.38,9.4,48841.18,21500.97,23731.76,2230.78544
34.0,513.66,20.1,34461.04,20116.69,17464.44,3510.35244
92.0,826.45,15.5,45702.54,64248.22,76033.40000000001,11785.177000000001
95.0,538.22,17.2,28154.42,42336.39,51130.9,8794.514799999999
26.0,259.99,29.1,26446.31,4792.66,6759.74,1967.08434
28.0,283.01,0.4,10266.55,7892.58,7924.28,31.697119999999998
94.0,682.21,16.4,48320.1,59702.93,64127.740000000005,10516.94936
19.0,372.08,12.4,27443.37,6192.9,7069.5199999999995,876.6204799999999
65.0,894.93,3.1,9282.11,56367.17,58170.45,1803.28395
12.0,72.48,27.6,2073.4,629.71,869.76,240.05376
64.0,168.39,6.9,27460.81,10033.35,10776.96,743.6102400000001
91.0,283.38,12.5,31457.33,22564.13,25787.579999999998,3223.4475
40.0,163.5,11.6,35682.43,5781.36,6540.0,758.64
34.0,513.66,10.1,9180.65,3764.2,17464.44,1763.90844
75.0,953.48,28.9,10905.78,50844.32,71511.0,20666.679
58.0,102.26,20.4,23574.76,4721.14,5931.08,1209.94032
81.0,416.18,25.5,18674.07,25114.38,33710.58,8596.197900000001
80.0,780.98,9.0,16770.51,56855.34,62478.4,5623.056
78.0,582.08,28.9,30284.83,32280.99,45402.240000000005,13121.247360000001
33.0,366.81,20.4,14194.94,9635.37,12104.73,2469.3649199999995
8.0,502.02,30.0,26526.43,2811.31,4016.16,1204.848
42.0,334.14,6.8,22963.3,13079.58,14033.88,954.3038399999999
43.0,610.68,22.5,49292.52,20350.91,26259.239999999998,5908.328999999999
33.0,288.99,18.4,37108.49,7781.92,9536.67,1754.7472799999998
35.0,343.36,26.6,23234.66,8820.92,12017.6,3196.6816000000003
38.0,710.78,16.3,33730.99,22607.07,27009.64,4402.57132
15.0,890.63,12.4,16491.79,11702.88,13359.45,1656.5718000000002
52.0,252.08,1.0,31755.78,12977.08,13108.16,131.0816
60.0,724.19,4.2,9084.0,41626.44,43451.4,1824.9588
59.0,909.3,10.8,3937.74,47854.64,53648.7,5794.0596
97.0,399.67,18.0,30903.93,31789.75,38767.99,6978.2382
52.0,330.11,25.7,46135.16,12754.13,17165.72,4411.59004
94.0,222.34,20.1,49798.15,16699.07,20899.96,4200.89196
66.0,448.71,12.4,3886.34,25942.62,29614.859999999997,3672.2426399999995
1.0,938.78,27.5,13558.12,680.62,938.78,258.16450000000003
76.0,71.1,21.0,30067.01,4268.84,5403.599999999999,1134.7559999999999
88.0,138.96,25.7,29251.57,9085.76,12228.480000000001,3142.7193600000005
65.0,498.39,20.1,44004.72,25883.88,32395.35,6511.46535
97.0,306.72,27.5,3900.2,21570.08,29751.840000000004,8181.756000000001
64.0,691.23,18.8,32183.81,35921.84,44238.72,8316.87936
84.0,118.08,27.8,34317.52,7161.32,9918.72,2757.4041599999996
80.0,485.78,5.7,43267.45,36647.24,38862.399999999994,2215.1567999999997
49.0,159.36,23.6,40432.48,5965.8,7808.64,1842.83904
87.0,897.47,20.3,25017.235,62229.67,78079.89,15850.21767
54.0,670.81,11.7,46297.01,31985.56,36223.74,4238.17758
76.0,380.7,7.1,11894.89,26878.94,28933.2,2054.2572
26.0,698.31,29.6,4700.82,12781.87,18156.059999999998,5374.193759999999
76.0,432.0,29.8,21418.1,23048.06,32832.0,9783.936
55.0,923.55,7.5,25529.34,46985.61,50795.25,3809.64375
82.0,712.52,10.4,36414.44,52350.27,58426.64,6076.370559999999
53.0,981.66,14.6,43314.16,44431.89,52027.979999999996,7596.085079999999
6.0,171.36,17.7,43668.18,846.18,1028.16,181.98432
35.0,725.02,21.7,36775.61,19869.17,25375.7,5506.5269
86.0,574.31,10.0,44725.05,44451.59,49390.659999999996,4939.066
73.0,513.66,6.9,42439.13,60882.61,37497.18,2587.30542
27.0,230.78,28.0,23204.17,4486.36,6231.06,1744.6968000000002
42.0,725.12,7.6,18054.32,28140.46,30455.04,2314.58304
94.0,795.22,4.5,24374.71,71386.9,74750.68000000001,3363.7806000000005
18.0,374.75,18.1,20300.02,5524.56,6745.5,1220.9355
46.0,249.42,18.6,15877.45,9339.28,11473.32,2134.03752
85.0,111.56,8.3,42457.42,8695.54,9482.6,787.0558000000002
69.0,808.39,16.4,47834.57,48304.54,55778.909999999996,9147.741239999998
20.0,976.03,10.1,18370.67,17549.02,19520.6,1971.5805999999998
95.0,922.44,25.0,25528.28,65723.85,87631.8,21907.95
35.0,815.37,27.4,5298.05,20718.55,28537.95,7819.3983
52.0,748.44,8.8,32735.89,62797.11,38918.880000000005,3424.861440000001
7.0,711.61,13.1,24124.22,4328.72,4981.27,652.54637
98.0,514.53,30.0,30349.28,35296.76,50423.939999999995,15127.181999999999
15.0,715.17,26.0,27581.73,7938.39,10727.55,2789.163
60.0,141.29,17.0,47975.48,7036.24,8477.4,1441.158
18.0,668.44,13.1,48230.54,10455.74,12031.920000000002,1576.1815200000003
5.0,945.49,17.9,10519.95,3881.24,4727.45,846.2135499999999
86.0,998.95,19.3,30820.85,69329.13,85909.7,16580.5721
95.0,609.19,26.4,10010.15,42594.56,57873.05,15278.485200000001
41.0,829.16,11.9,3432.04,29950.09,33995.56,4045.4716399999998
77.0,87.42,5.8,34089.9,6340.92,6731.34,390.41772
52.0,518.16,11.2,6154.81,28067.69,26944.32,3017.7638399999996
97.0,80.18,21.8,31458.98,6081.97,7777.460000000001,1695.4862800000003
67.0,703.02,9.2,24485.96,42768.92,47102.34,4333.415279999999
24.0,524.89,28.7,40646.28,8981.92,12597.36,3615.44232
79.0,801.9,0.4,7136.53,63096.7,63350.1,253.40040000000002
21.0,891.02,23.5,44737.22,14314.24,18711.42,4397.1837
99.0,485.7,12.9,34762.36,41881.43,48084.299999999996,6202.874699999999
92.0,799.3,2.4,49625.06,71770.75,73535.59999999999,1764.8543999999997
4.0,792.1,17.4,18982.66,2617.1,3168.4,551.3016
72.0,989.4,16.1,33193.08,59767.68,71236.8,11469.124800000001
96.0,494.63,14.7,19445.22,40504.26,47484.479999999996,6980.218559999999
5.0,319.45,20.1,19209.83,1276.2,1597.25,321.04725
96.0,876.91,18.9,37772.28,68272.7,84183.36,15910.65504
11.0,59.0,30.0,5472.42,454.3,649.0,194.7
3.0,973.04,25.4,40298.0,2177.66,2919.12,741.4564799999998
82.0,706.45,24.4,31705.94,43794.25,57928.9,14134.6516
89.0,857.95,7.1,39734.39,70936.16,76357.55,5421.38605
94.0,794.11,14.7,2293.9,63673.33,74646.34,10973.01198
78.0,847.04,27.3,2598.55,48032.25,66069.12,18036.86976
73.0,252.71,0.8,2737.75,18300.25,18447.83,147.58264000000003
41.0,397.13,1.1,10890.58,16103.22,16282.33,179.10563000000002
76.0,306.77,23.7,2014.01,17788.98,23314.519999999997,5525.54124
21.0,117.02,0.2,9078.99,2452.51,2457.42,4.914840000000001
92.0,98.76,10.4,10245.65,8140.98,9085.92,944.93568
52.0,812.1,14.0,20995.43,66348.57,42229.200000000004,5912.088000000001
84.0,513.66,1.3,6153.32,33707.08,43147.439999999995,560.9167199999999
5.0,680.16,30.0,5710.44,2380.56,3400.7999999999997,1020.2399999999999
20.0,551.66,26.7,40613.5,8087.34,11033.199999999999,2945.8643999999995
23.0,755.6,22.5,35198.05,13468.57,17378.8,3910.23
50.0,834.94,6.0,47161.89,39242.18,41747.0,2504.82
95.0,367.93,19.4,28457.1,28172.4,34953.35,6780.949899999999
85.0,728.66,13.0,35375.3,53884.41,61936.1,8051.692999999999
75.0,410.21,13.3,14461.85,26673.91,30765.75,4091.84475
54.0,293.11,11.7,22451.24,13976.07,15827.94,1851.86898
67.0,779.66,16.4,6076.72,37819.75,52237.22,8566.90408
10.0,323.51,13.7,42513.54,2791.89,3235.1,443.20869999999996
99.0,314.8,0.5,45916.71,31009.37,31165.2,155.826
32.0,965.87,26.8,10336.17,22624.54,30907.84,8283.30112
47.0,712.1,17.8,45657.6,27511.27,33468.700000000004,5957.428600000001
18.0,688.17,16.9,4417.41,10293.65,12387.06,2093.4131399999997
13.0,361.55,24.3,12438.81,3558.01,4700.150000000001,1142.1364500000002
22.0,735.66,18.6,20764.55,13174.2,16184.519999999999,3010.3207199999997
88.0,779.55,19.6,37541.56,55154.72,68600.4,13445.6784
3.0,138.98,16.4,49709.96,364.82,416.93999999999994,68.37815999999998
49.0,853.28,2.6,12566.69,40723.64,41810.72,1087.07872
30.0,788.63,26.0,42454.92,17507.59,23658.9,6151.314
89.0,686.58,19.1,49836.64,49434.45,61105.62,11671.173420000001
29.0,335.03,28.8,9367.93,6917.7,9715.869999999999,2798.17056
47.0,696.84,22.7,14554.59,25316.89,32751.480000000003,7434.58596
46.0,226.74,15.6,28495.11,8802.95,10430.04,1627.08624
18.0,884.11,5.3,12768.14,15070.54,15913.98,843.44094
52.0,809.4,21.0,1335.49,44120.39,42088.799999999996,8838.648
69.0,274.93,21.7,40194.57,14853.64,18970.170000000002,4116.52689
90.0,180.81,15.5,2317.39,13750.6,16272.9,2522.2994999999996
22.0,503.89,26.8,38778.78,8114.64,11085.58,2970.9354399999997
26.0,416.91,25.0,5521.17,8129.74,10839.66,2709.915
43.0,494.18,1.9,15331.69,20845.99,21249.74,403.74506
18.0,483.39,16.4,37455.43,8318.18,8701.02,1426.96728
69.0,155.25,18.7,2617.88,8709.06,10712.25,2003.1907499999998
28.0,281.63,27.4,28711.53,5724.97,7885.639999999999,2160.6653599999995
68.0,738.47,18.0,14032.8,41177.09,50215.96,9038.872800000001
5.0,717.22,3.0,33832.01,3478.52,3586.1000000000004,107.58300000000001
77.0,219.55,19.3,28519.13,13642.62,16905.350000000002,3262.7325500000006
13.0,318.66,20.3,5268.76,3301.64,4142.58,840.9437399999999
83.0,111.13,6.4,8774.47,8633.47,9223.789999999999,590.32256
30.0,855.93,7.8,40634.54,23675.02,25677.899999999998,2002.8761999999997
22.0,533.06,26.1,4706.55,8666.49,11727.32,3060.8305200000004
49.0,512.11,8.3,33287.27,23010.64,25093.39,2082.75137
26.0,704.02,22.3,36968.12,14222.61,18304.52,4081.9079600000005
27.0,170.19,25.0,23775.47,3446.35,4595.13,1148.7825
1.0,207.96,7.8,11954.7,191.74,207.96,16.22088
76.0,509.09,1.5,30661.94,38110.48,38690.84,580.3625999999999
19.0,459.19,0.3,38263.22,8698.44,8724.61,26.173830000000002
69.0,416.46,10.2,19981.89,25804.69,28735.739999999998,2931.0454799999993
78.0,169.11,22.4,27848.59,10235.89,13190.580000000002,2954.6899200000003
47.0,552.13,28.2,3109.97,18632.18,25950.11,7317.93102
7.0,651.01,27.4,10413.81,3308.43,4557.07,1248.6371799999997
46.0,915.8,13.9,31716.25,36271.17,42126.799999999996,5855.625199999999
39.0,223.13,24.5,26849.15,6570.06,8702.07,2132.00715
64.0,587.3,29.4,47475.84,26536.56,37587.2,11050.6368
59.0,617.0,22.5,40039.24,28212.32,36403.0,8190.675
91.0,843.31,25.5,14056.1,57172.2,76741.20999999999,19569.00855
51.0,290.28,15.9,3054.53,12450.4,14804.279999999999,2353.88052
25.0,308.94,18.0,46202.89,6333.27,7723.5,1390.23
46.0,580.98,17.6,26044.05,22021.47,26725.08,4703.61408
90.0,625.41,8.2,49949.77,51671.37,56286.899999999994,4615.525799999999
60.0,466.55,20.2,35768.64,22338.41,27993.0,5654.585999999999
82.0,844.69,5.3,4066.46,65593.56,69264.58,3671.02274
11.0,467.1,8.6,45575.64,4696.22,5138.1,441.87660000000005
29.0,577.41,20.3,1580.73,13345.68,16744.89,3399.21267
46.0,409.96,10.1,19229.29,16953.49,18858.16,1904.67416
47.0,815.42,23.1,9206.05,29471.73,38324.74,8853.014940000001
91.0,507.49,13.4,1985.49,39993.26,46181.590000000004,6188.333060000001
100.0,230.36,12.8,46018.59,20087.39,23036.0,2948.6079999999997
22.0,318.87,14.1,24770.0,6026.01,7015.14,989.13474
68.0,733.12,15.6,32388.49,42075.22,49852.16,7776.93696
75.0,488.06,22.5,23027.52,28368.49,36604.5,8236.0125
8.0,160.41,19.6,25588.36,1031.76,1283.28,251.52288000000001
93.0,377.59,6.1,5314.68,32973.8,35115.869999999995,2142.06807
57.0,804.92,2.7,9031.79,44641.67,45880.439999999995,1238.77188
7.0,377.45,6.7,34208.15,2465.13,2642.15,177.02405000000002
15.0,770.51,21.3,16274.09,9095.87,11557.65,2461.77945
53.0,234.98,27.3,25912.54,9054.01,12453.939999999999,3399.92562
90.0,642.38,27.2,4649.31,42088.74,57814.2,15725.4624
58.0,559.74,6.7,38276.3,30289.77,32464.920000000002,2175.14964
77.0,513.66,23.8,1124.09,3581.46,39551.82,9413.33316
4.0,705.0,25.3,14394.08,2106.54,2820.0,713.46
89.0,829.7,29.2,5382.01,52281.06,73843.3,21562.243599999998
21.0,991.88,16.9,36137.42,17309.3,20829.48,3520.1821199999995
88.0,117.71,20.8,5605.43,8203.92,10358.48,2154.56384
100.0,112.32,20.7,27366.79,8906.98,11232.0,2325.024
10.0,185.41,28.5,36407.19,1325.68,1854.1,528.4185
12.0,993.28,7.1,18835.04,11073.09,11919.36,846.2745600000001
28.0,254.66,20.8,20601.56,5647.34,7130.48,1483.13984
19.0,913.08,16.4,36048.4,14503.36,17348.52,2845.15728
26.0,554.87,11.6,19204.51,12753.13,14426.62,1673.4879200000003
2.0,504.59,19.2,17572.14,815.42,1009.18,193.76255999999998
40.0,530.6,28.1,10259.26,15260.06,21224.0,5963.944
70.0,107.69,4.3,23639.13,7214.15,7538.3,324.14689999999996
65.0,150.88,16.4,47999.63,8198.82,9807.199999999999,1608.3807999999997
98.0,568.24,27.9,17284.32,40150.7,55687.520000000004,15536.81808
93.0,917.44,29.5,10250.69,60151.95,85321.92,25169.9664
52.0,181.16,7.9,29876.66,8676.11,9420.32,744.20528
39.0,616.72,18.5,29836.71,19602.45,24052.08,4449.634800000001
5.0,598.25,22.6,30133.53,2315.23,2991.25,676.0225
62.0,137.02,17.2,13576.12,7034.06,8495.24,1461.18128
44.0,918.61,8.5,25017.235,36983.24,40418.840000000004,3435.6014
99.0,753.56,14.5,3279.75,63785.09,74602.43999999999,10817.353799999999
80.0,963.58,13.3,1303.67,66833.91,77086.40000000001,10252.491200000002
98.0,68.29,24.4,47232.88,5059.47,6692.420000000001,1632.9504800000002
34.0,443.45,3.2,22262.27,14594.83,15077.3,482.47360000000003
98.0,581.79,20.8,37507.55,45156.21,57015.42,11859.20736
13.0,960.35,22.4,31004.69,9688.01,12484.550000000001,2796.5391999999997
32.0,806.37,27.1,33435.46,18811.0,25803.84,6992.84064
2.0,371.83,29.3,45500.43,525.77,743.66,217.89238
56.0,966.63,12.4,6622.3,47419.0,54131.28,6712.278719999999
38.0,192.01,25.4,28740.0,5443.1,7296.379999999999,1853.2805199999996
84.0,666.2,24.0,11134.61,42530.21,55960.8,13430.592000000002
55.0,86.46,20.1,5037.08,3799.48,4755.299999999999,955.8153
93.0,450.35,15.1,5031.31,35558.28,41882.55,6324.26505
75.0,254.07,28.5,42047.81,13624.5,19055.25,5430.74625
36.0,976.34,23.9,11159.19,26747.81,35148.24,8400.429359999998
95.0,285.26,2.6,2139.07,26395.11,27099.7,704.5922
33.0,407.16,23.0,22459.82,10345.94,13436.28,3090.3444
30.0,973.5,24.2,9530.69,22137.39,29205.0,7067.61
52.0,981.6,26.1,15646.47,64560.81,51043.200000000004,13322.275200000002
57.0,190.34,7.4,45803.04,10046.53,10849.380000000001,802.8541200000001
31.0,710.99,6.2,29925.13,20674.17,22040.69,1366.52278
23.0,977.05,21.2,17662.75,17708.05,22472.149999999998,4764.095799999999
19.0,513.66,18.3,6091.23,12052.52,9759.539999999999,1785.9958199999999
11.0,395.78,10.3,46764.91,3905.16,4353.58,448.41874
61.0,956.3,4.0,38499.53,56000.93,58334.299999999996,2333.372
70.0,970.9,7.2,39368.97,63069.66,67963.0,4893.336
12.0,873.46,15.7,38255.56,8835.92,10481.52,1645.59864
60.0,871.2,23.6,46821.01,39935.81,52272.0,12336.192000000003
65.0,87.7,23.0,16480.7,4389.38,5700.5,1311.115
22.0,155.6,14.4,18832.97,2930.26,3423.2,492.9408
50.0,172.06,29.8,44133.07,6039.31,8603.0,2563.694
51.0,424.71,15.3,44595.12,18346.2,21660.21,3314.01213
98.0,55.09,10.8,7365.71,4815.75,5398.820000000001,583.0725600000001
1.0,111.14,22.2,4795.99,86.47,111.14,24.67308
48.0,238.55,4.2,26627.42,10969.48,11450.400000000001,480.9168000000001
88.0,154.22,24.1,32325.32,10300.66,13571.36,3270.69776
43.0,81.84,10.0,13319.62,3167.21,3519.1200000000003,351.91200000000003
82.0,476.65,0.4,33903.65,38928.96,39085.299999999996,156.3412
84.0,144.29,4.0,1608.75,11635.55,12120.359999999999,484.8144
32.0,496.48,17.4,23236.47,13122.96,15887.36,2764.4006400000003
60.0,797.23,10.5,30760.2,42811.25,47833.8,5022.549
71.0,612.84,28.8,10269.73,30980.29,43511.64,12531.35232
44.0,180.89,11.2,43081.95,7067.73,7959.16,891.4259199999999
51.0,402.17,16.5,36620.68,17126.41,20510.670000000002,3384.2605500000004
28.0,759.08,18.3,40028.78,17364.71,21254.24,3889.5259200000005
56.0,250.27,18.4,21676.4,11436.34,14015.12,2578.78208
83.0,605.37,15.0,26380.4,42708.85,50245.71,7536.8565
48.0,394.64,0.4,22604.74,18866.95,18942.72,75.77088
69.0,934.22,10.5,26306.66,57692.76,64461.18,6768.4239
17.0,295.99,24.4,11684.48,3804.06,5031.83,1227.76652
92.0,592.75,2.5,1568.75,53169.68,54533.0,1363.325
94.0,550.1,29.9,2974.66,36248.29,51709.4,15461.1106
65.0,967.92,20.5,25017.235,50017.27,62914.799999999996,12897.534
33.0,998.53,10.0,35843.02,29656.34,32951.49,3295.1489999999994
26.0,948.28,5.2,25017.235,23373.21,24655.28,1282.07456
20.0,173.18,2.2,13025.55,3387.4,3463.6000000000004,76.1992
36.0,699.05,28.0,49358.41,18119.38,25165.8,7046.424
45.0,357.15,12.6,48232.67,14046.71,16071.749999999998,2025.0404999999996
43.0,969.74,26.9,30337.27,30481.84,41698.82,11216.98258
61.0,272.64,19.3,38467.5,13421.25,16631.04,3209.7907200000004
64.0,574.47,1.6,3662.92,36177.82,36766.08,588.25728
10.0,426.49,23.3,5358.4,3271.18,4264.9,993.7216999999999
68.0,867.59,16.4,29267.54,48612.8,58996.12,9675.36368
7.0,111.11,0.7,11327.03,772.33,777.77,5.444389999999999
44.0,546.08,6.8,10741.39,22393.65,24027.52,1633.87136
36.0,893.49,14.4,5915.79,27533.79,32165.64,4631.85216
47.0,635.58,20.1,9081.93,23867.94,29872.260000000002,6004.324260000001
90.0,517.29,29.2,2042.01,32961.72,46556.1,13594.381199999998
50.0,91.65,19.0,31123.92,3711.82,4582.5,870.675
